latitude,longitude,number of bikes,station id
38.841291,-77.063093,6.0,86.0
38.797557,-77.053766,10.0,87.0
38.818748,-77.047783,2.0,88.0
38.829545,-77.047844,4.0,89.0
38.798133,-77.0487,7.0,90.0
38.843422,-77.064016,9.0,91.0
38.869418,-77.095596,12.0,92.0
38.873219,-77.082104,10.0,93.0
38.997445,-77.023894,1.0,94.0
39.103091,-77.196442,5.0,95.0
38.856425,-77.049232,2.0,96.0
38.86215024521491,-77.06812083721161,3.0,97.0
38.812718,-77.044097,9.0,98.0
38.80704,-77.059817,9.0,99.0
38.813485,-77.049468,1.0,100.0
38.999378,-77.097882,8.0,101.0
38.884829,-77.127671,7.0,102.0
38.979875,-77.093522,1.0,103.0
38.885434,-77.173605,5.0,104.0
38.87972,-77.178408,11.0,105.0
38.88837,-77.179832,5.0,106.0
38.9698,-76.9493,8.0,107.0
38.883601,-77.173438,11.0,108.0
38.878085,-77.153953,3.0,109.0
38.880612,-77.171891,11.0,110.0
38.887403,-77.176992,11.0,111.0
38.985404,-77.023082,4.0,112.0
38.981103,-77.097426,3.0,113.0
38.871822,-77.107906,6.0,114.0
38.862478,-77.086599,10.0,115.0
39.04313,-77.05006,0.0,116.0
38.955170598044894,-77.3630940914154,4.0,117.0
39.043272,-77.053085,10.0,118.0
39.035965,-77.048395,1.0,119.0
38.970412,-77.340787,9.0,120.0
39.032029,-77.04735,6.0,121.0
38.988101,-76.988422,3.0,122.0
38.98265,-76.988311,11.0,123.0
39.044887,-77.047788,5.0,124.0
38.882788,-77.103148,3.0,125.0
38.885801,-77.097745,1.0,126.0
38.895377,-77.09713,11.0,127.0
38.898984,-77.078317,5.0,128.0
38.896456,-77.104562,2.0,129.0
38.859254,-77.063275,3.0,130.0
38.997653,-77.034499,0.0,131.0
38.876528,-77.12712,9.0,132.0
38.847977,-77.075104,12.0,133.0
38.990639,-77.100239,2.0,134.0
38.992375,-77.100104,0.0,135.0
38.990249,-77.02935,1.0,136.0
39.02538719623632,-77.04456299543381,7.0,137.0
38.982456,-77.091991,1.0,138.0
38.989724,-77.023854,3.0,139.0
39.095661,-77.159048,3.0,140.0
38.988562,-77.096539,9.0,141.0
39.093783,-77.202501,9.0,142.0
39.096312,-77.192672,8.0,143.0
38.983838,-77.09221,0.0,144.0
39.094772,-77.145213,6.0,145.0
38.98954,-77.098029,2.0,146.0
39.084125,-77.151291,3.0,147.0
38.798749,-77.00103,6.0,148.0
38.782633,-77.016059,6.0,149.0
38.924437,-77.217664,3.0,150.0
38.920939,-77.222115,6.0,151.0
38.92403,-77.235955,8.0,152.0
38.929261,-77.240654,5.0,153.0
38.919475,-77.221179,4.0,154.0
38.96115,-77.088659,19.0,155.0
38.873755,-77.089233,11.0,156.0
